Timestamp,Entering_Grade_Level,District,Birth_Month,OLSAT_Verbal_Score,OLSAT_Verbal_Percentile,NNAT_Non_Verbal_Raw_Score,NNAT_Non_Verbal_Percentile,Overall_Score,School_Preferences,School_Assigned,Will_You_Enroll_There
2017-04-08 06:44:01,1,6.0,September,28.0,99.0,45.0,99.0,99.0,"NEST+m, TAG, Anderson, Q300",NEST,Yes
2017-04-07 10:40:45,K,6.0,August,25.0,99.0,39.0,99.0,99.0,"Anderson, NEST+m",Anderson,Maybe
2017-04-07 10:41:56,1,6.0,March,27.0,96.0,42.0,99.0,98.0,"Anderson, NEST+m",Anderson,Maybe
2017-04-07 10:43:31,K,6.0,September,23.0,97.0,40.0,99.0,98.0,"Anderson, NEST+m",Anderson,Yes
2017-04-10 10:18:34,K,22.0,April,25.0,98.0,38.0,99.0,99.0,Brooklyn School of Inquiry,Currently - local Brooklyn dual language,Maybe
2017-04-07 11:03:21,K,22.0,May,24.0,97.0,36.0,98.0,98.0,Brooklyn School of Inquiry,Brooklyn School of Inquiry,Yes
2017-04-07 11:26:16,K,22.0,October,24.0,99.0,42.0,99.0,99.0,"Nest+M, Anderson",Nest+M,Yes
2017-04-07 11:31:41,1,22.0,March,23.0,81.0,42.0,99.0,95.0,"Nest+M, Anderson",Nest+M,Yes
2017-04-07 11:32:52,2,22.0,April,29.0,99.0,44.0,99.0,99.0,Any citywide or district 3 school,Anderson,Yes
2017-04-07 11:57:06,K,22.0,June,17.0,77.0,39.0,99.0,94.0,Any citywide or district 3 school,Anderson,Maybe
2017-04-07 12:03:49,K,22.0,December,23.0,98.0,45.0,99.0,99.0,Any citywide or district 3 school,Anderson,Yes
2017-04-07 12:36:07,1,22.0,July,24.0,86.0,39.0,98.0,94.0,Any citywide or district 3 school,Anderson,Yes
2017-04-07 12:42:05,1,22.0,May,29.0,99.0,48.0,99.0,99.0,Any citywide or district 3 school,Anderson,Yes
2017-04-07 13:00:25,1,22.0,January,28.0,96.0,43.0,99.0,98.0,Any citywide or district 3 school,Anderson,Yes
2017-04-07 13:16:38,K,22.0,January,26.0,99.0,40.0,99.0,99.0,Any citywide or district 3 school,Anderson,Yes
2017-04-07 14:50:06,1,22.0,January,26.0,89.0,46.0,99.0,96.0,Any citywide or district 3 school,Anderson,Yes
2017-04-07 16:19:39,1,22.0,June,25.0,89.0,41.0,99.0,96.0,Any citywide or district 3 school,Anderson,Yes
2017-04-08 08:20:44,K,11.0,December,21.0,96.0,43.0,99.0,98.0,PS121 ,PS121 ,Yes
2017-04-08 08:33:07,K,3.0,August,25.0,99.0,39.0,99.0,99.0,"Anderson, NEST+m",Anderson,Maybe
2017-04-08 08:44:05,K,26.0,May,28.0,99.0,46.0,99.0,99.0,Anderson,PS 203,Maybe
2017-04-08 08:54:04,K,28.0,July,28.0,99.0,38.0,99.0,99.0,Anderson,Anderson,Yes
2017-04-08 09:26:30,2,2.0,February,28.0,97.0,44.0,99.0,98.0,Anderson,Anderson,Yes
2017-04-08 09:41:44,1,3.0,November,28.0,99.0,41.0,99.0,99.0,"Anderson, NEST+M, Lower Lab",Anderson,Yes
2017-04-08 09:56:57,1,1.0,January,26.0,89.0,42.0,99.0,96.0,"Anderson, NEST+M, Lower Lab",Anderson,Yes
2017-04-08 12:34:56,2,26.0,January,28.0,97.0,43.0,99.0,98.0,PS Q203,PS Q203,Yes
2017-04-08 16:31:36,1,2.0,March,28.0,99.0,45.0,99.0,99.0,PS Q203,PS Q203,Maybe
2017-04-08 19:17:06,2,2.0,November,28.0,99.0,47.0,99.0,99.0,Anderson,Anderson,Yes
2017-04-08 22:08:30,K,25.0,February,27.0,99.0,46.0,99.0,99.0,TBD,TBD,Yes
2017-04-09 00:11:05,K,14.0,May,27.0,99.0,45.0,99.0,99.0,Nest,Nest,Maybe
2017-04-10 08:30:29,K,11.0,March,32.0,97.0,40.0,99.0,98.0,Tag,175,Maybe
2017-04-10 09:35:21,K,20.0,May,19.0,87.0,40.0,99.0,96.0,PS229,PS229,No
2017-04-10 10:04:50,K,25.0,May,28.239583333333332,97.0,43.291666666666664,98.0,98.0,Anderson,PS 32 Q,Yes
2017-04-10 13:25:42,K,28.0,August,13.0,55.0,27.0,90.0,76.0,Anderson,Anderson,Yes
2017-04-10 20:09:49,K,3.0,August,29.0,99.0,37.0,99.0,99.0,Anderson,Anderson,Yes
2017-04-11 20:01:30,K,2.0,July,18.0,83.0,38.0,99.0,95.0,Anderson,Anderson,Maybe
2017-04-11 22:32:23,K,3.0,December,28.239583333333332,98.0,43.291666666666664,99.0,99.0,"Anderson, Tag Young, Nest+M",Anderson,Yes
2017-04-12 12:40:43,K,28.0,November,18.0,88.0,45.0,99.0,96.0,TBD,TBD,Maybe
2017-04-12 23:47:39,K,26.0,July,22.0,86.0,41.0,99.0,96.0,TBD,TBD,Yes
2017-04-13 13:10:00,K,3.0,April,23.0,96.0,39.0,99.0,98.0,TBD,TBD,Yes
